step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.1743035316467285,4.174264430999756,2e-06,-100.0
1,1,4.174181938171387,4.174164772033691,2e-06,-100.0,0.01604591403156519,5.991137049932149e-05,0.0003179801269652671,0.0011779980268329382
2,2,4.174240589141846,4.174135684967041,2e-06,-100.0,0.016041988506913185,5.918483259392815e-05,0.0003179966897732811,0.0011783363879658282
3,3,4.1741461753845215,4.1742143630981445,2e-06,-100.0,0.016059845220297575,6.20747287030099e-05,0.00031806690094526857,0.0011771183053497225
4,4,4.1741485595703125,4.1742072105407715,2e-06,-100.0,0.016021134797483683,6.04065908191842e-05,0.00031796489656699123,0.0011786763207055628
5,5,4.174299716949463,4.174066543579102,2e-06,-100.0,0.016055500134825706,6.135605849522108e-05,0.0003181162046530517,0.001178788224933669
6,6,4.174129486083984,4.174127101898193,2e-06,0.8306876161023498,0.016051380895078182,6.063618809548643e-05,0.0003180378380420734,0.0011790578719228506
7,7,4.1741180419921875,4.174103736877441,2e-06,1.0397168437164164,0.016031695995479822,6.044508779723401e-05,0.0003181199654136435,0.0011787625262513757
8,8,4.17416524887085,4.174192428588867,2e-06,1.2269055853982604,0.01602006796747446,6.074109978726483e-05,0.00031815933198231505,0.0011793494049925357
9,9,4.174118995666504,4.174208164215088,2e-06,1.3995303502679637,0.0160371707752347,6.321978992218646e-05,0.0003181307320119231,0.001176908117486164
10,10,4.174120903015137,4.174017906188965,2e-06,1.5496440385352341,0.016052986960858107,6.372203313276259e-05,0.0003182831887897919,0.0011778906045947224
11,11,4.174206733703613,4.174139976501465,2e-06,1.4805952424584818,0.016048402059823275,6.47043336812203e-05,0.00031842593125475105,0.0011772613797802478
12,12,4.174228191375732,4.174167156219482,2e-06,1.6263507699411595,0.0160448900423944,6.35135578477275e-05,0.0003184774477631436,0.0011813172022812068
13,13,4.174154758453369,4.1741557121276855,2e-06,1.755104148248816,0.01602569129317999,6.384253811120288e-05,0.00031855407632974675,0.0011794310412369668
14,14,4.174110412597656,4.174089431762695,2e-06,1.874403519184651,0.01604246348142624,6.457931624481716e-05,0.00031857675639912486,0.0011792555742431432
15,15,4.174238204956055,4.174108028411865,2e-06,1.9786105693843739,0.016033112537115812,6.581638035640935e-05,0.0003187792508470011,0.0011774504091590643
16,16,4.17424201965332,4.174110412597656,2e-06,2.070828329412019,0.01606096839532256,6.716348900681623e-05,0.0003187933079971117,0.0011803951056208462
17,17,4.174122333526611,4.1741943359375,2e-06,2.1546454067839163,0.016055117826908827,6.646056078807305e-05,0.0003190143088431796,0.0011798612540587783
18,18,4.174129486083984,4.174065589904785,2e-06,2.233640047292898,0.01604487281292677,6.810057379880163e-05,0.0003191254781995667,0.001178867241833359
19,19,4.174190521240234,4.174036979675293,2e-06,2.302798953393788,0.016047200188040733,6.802340419653774e-05,0.0003193305246895761,0.001179305458208546
