step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.1743035316467285,4.174264430999756,0.002,-100.0
1,1,4.1718573570251465,4.171605587005615,0.002,-100.0,0.01604591403156519,5.991137049932149e-05,0.0003179801269652671,0.0011779980268329382
2,2,4.171616554260254,4.171610355377197,0.002,-100.0,0.01604505768045783,0.002081961494695861,0.0021052334777778015,0.001483431289670989
3,3,4.171670436859131,4.171204566955566,0.002,-100.0,0.016070786863565445,0.0021360256578191184,0.002182035314035602,0.001531479269033298
4,4,4.171187877655029,4.171109199523926,0.002,-100.0,0.016038950998336077,0.0021846589879714884,0.00225771884288406,0.0015848416951484978
5,5,4.170933723449707,4.171089172363281,0.002,-100.0,0.016080055851489305,0.0022356529952958226,0.002338779413548764,0.0016360085573978722
6,6,4.1707587242126465,4.170892238616943,0.002,0.7856248066218482,0.016081493813544512,0.002288259522174485,0.0024276849144371226,0.001687435433268547
7,7,4.170834064483643,4.170658588409424,0.002,0.785100152072673,0.016067990567535162,0.00234379119501682,0.0025203032200806774,0.001739696686854586
8,8,4.17051887512207,4.170589447021484,0.002,0.7942196807905252,0.016062085516750813,0.002407298714388162,0.002627930349262897,0.0017915469070430845
9,9,4.1700592041015625,4.170263290405273,0.002,0.8026691883997455,0.016085558105260134,0.002482299867551774,0.0027610877732513472,0.001838762778788805
10,10,4.170227527618408,4.170216083526611,0.002,0.810509763559524,0.016107195988297462,0.0025658562808530405,0.002911213996412698,0.0018864864541683346
11,11,4.169856548309326,4.1702375411987305,0.002,0.8173152833052217,0.016108199954032898,0.0026729736346169375,0.003087765144300647,0.0019318394479341805
12,12,4.1697916984558105,4.169948577880859,0.002,1.039293750169998,0.016109338030219078,0.0027938148996327072,0.003295142305432819,0.001975874532945454
13,13,4.169714450836182,4.169863224029541,0.002,1.01390477312932,0.01609492627903819,0.0029437077027978376,0.0035280848169350065,0.0020186128676868975
14,14,4.169758319854736,4.169785976409912,0.002,0.9906493130709195,0.016118047293275595,0.003118462504062336,0.0037896679641562514,0.002061570296064019
15,15,4.169825077056885,4.169741630554199,0.002,0.9790281287073233,0.016115485224872828,0.0033107166455010884,0.004065332752361428,0.002105310733895749
16,16,4.169489860534668,4.169670581817627,0.002,0.906953781758737,0.016148080118000507,0.0035217281911172904,0.004355078432126902,0.002150179643649608
17,17,4.1695942878723145,4.1697587966918945,0.002,0.8940153988770304,0.016147689893841743,0.0037226209460641257,0.004651592913432978,0.0021958317956887186
18,18,4.169081687927246,4.169629096984863,0.002,1.1069657552203906,0.016145743429660797,0.003967458615079522,0.0049750343096093275,0.002242951071821153
19,19,4.1693949699401855,4.169283866882324,0.002,1.0838000549885758,0.016152900643646717,0.004200099370791577,0.005288578795443755,0.00229017436504364
